Infinitive	Past Simple	Past participle	Significado
Be	Was/Were	Been	Ser/Estar
Begin	Began	Begun	Empezar
Break	Broke	Broken	Romper
Bring	Brought	Brought	Traer
Build	Built	Built	Construir
Buy	Bought	Bought	Comprar
Catch	Caught	Caught	Atrapar
Choose	Chose	Chosen	Escoger
Come	Came	Come	Venir
Cost	Cost	Cost	Costar
Do	Did	Done	Hacer
Dream	Dreamt	Dreamt	Soñar
Drink	Drank	Drunk	Beber
Drive	Drove	Driven	Conducir
Eat	Ate	Eaten	Comer
Fall	Fell	Fallen	Caerse
Feel	Felt	Felt	Sentir
Find	Found	Found	Encontrar
Fly	Flew	Flown	Volar
Forget	Forgot	Forgotten	Olvidar
Get	Got	Got	Obtener
Give	Gave	Given	Dar
Go	Went	Gone	Ir
Have	Had	Had	Tener/Haber
Hear	Heard	Heard	Oír
Hold	Held	Held	Sujetar
Keep	Kept	Kept	Guardar
Know	Knew	Known	Conocer
Learn	Learnt	Learnt	Aprender
Leave	Left	Left	Salir
Lose	Lost	Lost	Perder
Make	Made	Made	Hacer
Mean	Meant	Meant	Significar
Meet	Met	Met	Conocer
Pay	Paid	Paid	Pagar
Put	Put	Put	Poner
Read	Read	Read	Leer
Ring	Rang	Rung	Timbrar
Run	Ran	Run	Correr
Say	Said	Said	Decir
See	Saw	Seen	Ver
Sell	Sold	Sold	Vender
Send	Sent	Sent	Enviar
Sing	Sang	Sung	Cantar
Sleep	Slept	Slept	Dormir
Speak	Spoke	Spoken	Hablar
Stand	Stood	Stood	Estar de pie
Steal	Stole	Stolen	Robar
Swim	Swam	Swum	Nadar
Take	Took	Taken	Coger
Teach	Taught	Taught	Enseñar
Tell	Told	Told	Contar
Think	Thought	Thought	Pensar
Understand	Understood	Understood	Entender
Wear	Wore	Worn	Llevar puesto
Win	Won	Won	Ganar
Write	Wrote	Written	Escribir
