Infinitive	Past Simple	Past participle	Significado
Be	Was/Were	Been	Ser/Estar
Beat	Beat	Beaten	Vencer
Become	Became	Become	Convertirse
Begin	Began	Begun	Empezar
Bend	Bent	Bent	Doblar
Bite	Bit	Bitten	Morder
Break	Broke	Broken	Romper
Bring	Brought	Brought	Traer
Build	Built	Built	Construir
Burn	Burnt	Burnt	Quemar
Buy	Bought	Bought	Comprar
Catch	Caught	Caught	Atrapar
Choose	Chose	Chosen	Escoger
Come	Came	Come	Venir
Cost	Cost	Cost	Costar
Cut	Cut	Cut	Cortar
Do	Did	Done	Hacer
Draw	Drew	Drawn	Dibujar
Dream	Dreamt	Dreamt	Soñar
Drink	Drank	Drunk	Beber
Drive	Drove	Driven	Conducir
Eat	Ate	Eaten	Comer
Fall	Fell	Fallen	Caerse
Feed	Fed	Fed	Alimentarse
Feel	Felt	Felt	Sentir
Fight	Fought	Fought	Pelear (luchar)
Find	Found	Found	Encontrar
Fly	Flew	Flown	Volar
Forbid	Forbade	Forbidden	Prohibir
Forget	Forgot	Forgotten	Olvidar
Forgive	Forgave	Forgiven	Perdonar
Get	Got	Got	Obtener
Give	Gave	Given	Dar
Go	Went	Gone	Ir
Grow	Grew	Grown	Crecer
Have	Had	Had	Tener/Haber
Hear	Heard	Heard	Oír
Hide	Hid	Hidden	Esconder
Hit	Hit	Hit	Pegar
Hold	Held	Held	Sujetar
Hurt	Hurt	Hurt	Lastimar
Keep	Kept	Kept	Guardar
Know	Knew	Known	Conocer
Lead	Led	Led	Dirigir
Learn	Learnt	Learnt	Aprender
Leave	Left	Left	Salir
Lend	Lent	Lent	Prestar
Let	Let	Let	Dejar
Lie	Lay	Lain	Tumbarse
Light	Lit	Lit	Encender
Lose	Lost	Lost	Perder
Make	Made	Made	Hacer
Mean	Meant	Meant	Significar
Meet	Met	Met	Conocer
Pay	Paid	Paid	Pagar
Put	Put	Put	Poner
Read	Read	Read	Leer
Ride	Rode	Ridden	Montar
Ring	Rang	Rung	Timbrar
Rise	Rose	Risen	Levantarse
Run	Ran	Run	Correr
Say	Said	Said	Decir
See	Saw	Seen	Ver
Sell	Sold	Sold	Vender
Send	Sent	Sent	Enviar
Shake	Shook	Shaken	Agitar
Shine	Shone	Shone	Brillar
Shoot	Shot	Shot	Disparar
Show	Showed	Shown	Enseñar
Shut	Shut	Shut	Cerrar
Sing	Sang	Sung	Cantar
Sink	Sank	Sunk	Hundirse
Sit	Sat	Sat	Sentarse
Sleep	Slept	Slept	Dormir
Smell	Smelt	Smelt	Oler
Speak	Spoke	Spoken	Hablar
Spend	Spent	Spent	Gastar
Spill	Spilt	Spilt	Derramar
Spread	Spread	Spread	Extender
Stand	Stood	Stood	Estar de pie
Steal	Stole	Stolen	Robar
Stick	Stuck	Stuck	Pegar
Sting	Stung	Stung	Picar
Strike	Struck	Struck	Golpear
Swear	Swore	Sworn	Prometer
Sweep	Swept	Swept	Barrer
Swim	Swam	Swum	Nadar
Swing	Swung	Swung	Columpiarse
Take	Took	Taken	Coger
Teach	Taught	Taught	Enseñar
Tear	Tore	Torn	Desgarrar
Tell	Told	Told	Contar
Think	Thought	Thought	Pensar
Throw	Threw	Thrown	Tirar
Understand	Understood	Understood	Entender
Wake	Woke	Woken	Despertarse
Wear	Wore	Worn	Llevar puesto
Win	Won	Won	Ganar
Write	Wrote	Written	Escribir
